index,text,value
24,2001 yılında almış olduğum 533 ******55 numaralı hattımı kullanıma kapattım. Kalan 4 TL borç yasal takibe alınmış ve bu yüzden Bankalar Birliği risk merkezine bildirilmiş. Turkcell şubesi ve 532 numaralı hattınızı bir haftadır aramama rağmen borcum olduğunu öğrendim fakat nereye ödeyeceğim ve hangi hukuk bürosuna ödeneceği hakkında net bir bilgi verilemedi. Şu an ihtiyacım olan banka işlemlerimi sizin duyarsızlığınız ve iş bilmez sisteminiz yüzünden aksattım. En kısa sürede çözüm bekliyorum. İrtibat numarası: 0542*******78.,2
25,kaba,2
26,Pttcell Haksız Uygulama. Bana bilgiyi geç veriyorlar ve paketimi aştığımı söylüyorlar. Bana mesajı 22.18'de gönderiyorlar 'kullanımınız bitmiştir' diye ama kullanımlarımı saatler öncesinde bitirip kullanımı yaptırıp bitmiştir. Mesajını saatler sonra göndermek haksız uygulamadan ibarettir.,2
27,Bu kadar kötü bir hizmetle karşılaşacağımı düşünmezdim. Ürün bozuk ve ilgilenen yok.,2
28,gitmeyi düşünmüyorum,2
29,Ürün geldiğinde pedalı kısmen takılıyordu normaldir diye düşünerek kullandık ancak ilk günün sonunda pedal tamamen takıldı ve yukarı çıkmıyor.,3
30,elbise çok hoşuma gitti,1
31,PUBG Mobile'da bugün bir hesap aldım ve mail girdim. Şifre bana yanlış olarak verildi ve hiçbir şekilde hesaba giriş yapamıyorum. Lütfen bir an önce çözülmesini istiyorum. Coffin Market'ten aldım mesaj attım ancak hala bir dönüş alamadım. SMS attım ve ondan 1 TL para aldı. Lütfen o parayı bulmak için çok çabaladım.,2
32,dikişlerinde problem var,2
33,bizi rezil etmek,2
34,@toroslardestek Tebrik ediyorum 50 gün olmadan sorunu çözdünüz. Dünyanın en hızlı çözüm üreten teknik ekibini canı gönülden kutluyorum. Allah nazardan saklasın.,3
35,tehditkâr konuşmaları ve saygısız tavırları,2
36,Müşteri hizmetleri cevap ve geri dönüş yapmıyor. Hesabımdan haberim olmadan para çekiliyor. Aboneliğin iptal edilmesini ve para iadesini talep ediyorum. Ne hakla benim hesabımdan haberim olmadan para çekiyorsunuz? TFF ile ilgili bir e-posta gönderdim bir an önce ilgilenmenizi istiyorum.,2
37,yasal takibe alınmış,2
38,Hekimhan Belediye Başkanı Yıldırım Dolandırıldı mı?,0
39,Türk Telekom'un internet hızı çok yavaş. Film izlemek işkence gibi bir şey oldu.,2
40,duyarsızlığınız ve iş bilmez sisteminiz yüzünden aksattım,2
41,Bana bilgiyi geç veriyorlar,2
42,THY ile uçuşumda bagajım kayboldu. Kimse yardımcı olmuyor. Rezillik.,2
43,Tek taraflı olarak internet taahhüt iptal ettiler. Müşteri sözleşmeyi iptal etse ceza öder fakat firma iptal ederse sen daha pahalı internet kullanırsın. Bana 40 gün önceden \,0
44,paketimi aştığımı söylüyorlar,2
45,Mesajını saatler sonra göndermek haksız uygulamadan ibarettir,2
46,Arkadaşlar bu Betmavera adlı siteye 5000 TL yatırım yaptım ve 10115 TL'ye ulaştım. Çekim talebi verdim ancak Payfix ile iptal oldu ve manuel havale ile çekmem gerektiği söylendi. Manuel havale ile çekim talebi verdim ve üyeliğim kapatıldı. Daha sonra bağlandığımda ana paramın iade edileceği söylendi ancak yatırılmadı. Şimdi tekrar bağlandığımda böyle bir kullanıcı olmadığı belirtiliyor.,2
47,PTT kargo teslimatları çok yavaş. Gönderimlerin hızlandırılması gerekmekte.,2
48,kötü bir hizmet,2
49,bozuk,2
50,@iettdestek İletişim bilgisi paylaşmama gerek var mı sizce? Burdan haber verebilirsiniz? O güzelim çocuklar bu şekilde davrandığı için toplum tarafından şiddet bile görüyor lütfen gerekli önlemleri almanızı rica ediyorum. Teşekkürler,2
51,ilgilenen yok,2
52,Sürekli gündeme getiriyoruz ama...Aylardır yaptığımız paylaşımlarla gündeme taşıdığımız Aydınlı Yolu Caddesi üzerindeki çalışma henüz tamamlanamadı.&gt;@iski_destek@iski_destek@istanbulbld@IBBcozummerkezi,0
53,Eğer ki bir gün evinize veya işyerinize internet bağlatmak isterseniz @DSmartDunyasi 'dan uzak durun. Veya taahhüt süreniz dolduysa yenileme yapmayın. Çünkü internet arızası yaşadığınızda @DSmartDestek denilen müşteri hizmetleri hiçbir işe yaramıyor.,2
54,geldiğinde pedalı kısmen takılıyordu,1
55,Turkcell müşteri hizmetlerine bağlanmak imkansız gibi bir şey. Saatlerce beklemek zorunda kalıyorum.,2
56,ilk günün sonunda pedal tamamen takıldı ve yukarı çıkmıyor,2
57,şifre bana yanlış olarak verildi,2
58,Baydöner porsiyon yanında ikili menüye 4 tane turşu koymuş. Tekrar turşu istememe rağmen 3 defa istememe rağmen en son 'veremiyoruz' diyorlar. Yetim hakkı gibi 4 tane ufak biberden yollamışsınız hakkınız geçti. Şikayetimi de silmeyeceğim sosyal medyada da paylaşacağım çevreme de söyleyeceğim.,2
59,hiçbir şekilde hesaba giriş yapamıyorum,2
60,Karcher buharlı cihaz aldım 2 ayda su pompası ve birkaç parçası daha bozuldu. Ümraniye'deki servise verdim 2 ay oldu. Haber yok. Buradan yetkililere sesleniyorum cihazı vermeyecekseniz cihazın bedelini bari geri ödeyin. Bu cihazı almakla yaptığım hata da bana ders olsun.,2
61,Merhaba Payfix yetkilisi aylardır havale yapıyorum ve hesaptaki paramı çekebiliyordum. Ancak son iki gündür hiçbir işlem yapamıyorum. Bu sorunu çözebilir misiniz? Hemen hemen her bankada hesabım var ve hiçbirinde böyle bir sorun yaşamıyorum. Payfix'te neden böyle şeyler oluyor? Mağduriyetimin giderilmesini rica ederim. İyi günler.,2
62,bir dönüş alamadım,2
63,@Bim en sevdiğim market. Çalışanlarınız çok kibar ve yardımsever. @Bim,1
64,1 TL para aldı,2
65,Tebrik ediyorum,1
66,Hesabımdan izinsiz para çekilmiş. Google Helppay adı altında hesabımdan iznim ve onayım olmadan 58 TL para çekilmiş. Paramın iadesini istiyorum. Çekilen paranın bir an önce hesabıma geri aktarılmasını rica ediyorum. İznim olmadan hesabıma ulaşılması da bir garip.,3
67,A101'de aldığım ürünlerin çoğu bozuk çıktı. Bir daha alışveriş yapmayı düşünmüyorum.,2
68,Allah nazardan saklasın,1
69,Türk Hava Yolları Arjantin'in en köklü kulüplerinden CA River Plate’in forma sponsoru oldu.River Plate 3 yıl boyunca oynayacağı müsabakalarda THY logolu forma ile boy gösterecek. @RiverPlate @TK_TR,0
70,Dünyanın en hızlı çözüm üreten teknik ekibini canı gönülden kutluyorum,1
71,@TK_TR Helal olsun size daha iyisi olamazdı👏👏👏,1
72,50 gün olmadan sorunu çözdünüz.,2
73,haberim olmadan para çekiliyor,2
74,Teknosa'dan aldığım televizyon 1 ay içinde bozuldu. Müşteri hizmetleri ilgilenmiyor. Paramın iadesini talep ediyorum.,2
75,Denizlispor 52 Yaşında…,0
76,Aboneliğin iptal edilmesini,2
77,@varank @santekdestek Sayin Bakanım mesajı okumadı sanırım ya nasip 🤔,2
78,para iadesini talep ediyorum,2
79,çok yavaş,2
80,Yolda gelirken yediniz mi acaba🤔 Böyle bir porsiyon olamaz olmamalı🤨@DominosTR @DominosDestek,2
81,işkence gibi,2
82,Yemek siparişim tam 2 saat sonra geldi. #Yemeksepeti,2
83,Bana gönderdiğiniz bilgisayar çalışmıyor ve müşteri hizmetlerine ulaşamıyorum. Bu nasıl bir hizmet @mediamarkt,2
84,kimse yardımcı olmuyor,2
85,rezillik,2
86,@AbcdRestaurant yemeğim çok gecikti ve soğuktu. Bir daha asla sipariş vermem.,2
87,çekim talebi verdim,2
88,Teknocell 236 liralık aylık faturam 920 lira eklenerek 1156 lira olarak gösteriliyor. Taahhüdüm olmasına rağmen 920 lira ekstra yansıtılan ücretin ne olduğunu anlayamıyorum. Faturamın acilen düzeltilmesini talep ediyorum. Paketim halen devam etmektedir. Diğer faturalar arasında herhangi bir görüşme farkı yok; yurt dışı görüşmem olmadığı halde ekstra olarak 5 aylık fatura bedeli talep edilmesini anlamıyorum. 1156 lira hesabımdan çekilmiş bulunmaktadır ve ödediğim paranın geri iadesini istiyorum.,2
89,üyeliğim kapatıldı,2
90,#Arceliksupport ürününüzün kalitesini çok beğendim. Tavsiye ederim.,1
91,ana paramın iade edileceği söylendi,2
92,@UPSDestek Here you go @upsdestek @ups @UPSTurkiye . The customs have been finalised 8 days ago. Can you find any other arguments? This one did not work...,0
93,şiddet bile görüyor,2
94,Kargom @mngkargo tarafından yanlış adrese teslim edilmiş. Bu kadar beceriksizlik olmaz!,2
95,hiçbir işe yaramıyor,2
96,MediaMarkt'tan aldığım kulaklık bozuldu ve iade kabul edilmedi. İnanılmaz kötü bir hizmet.,2
97,bağlanmak imkansız,2
98,Ürünleriniz kaliteli ama fiyatlar çok yüksek. Biraz indirim yapılsa iyi olurdu.,2
99,saatlerce beklemek zorunda kalıyorum,2
100,@TurkNet müşteri hizmetlerine ulaşmak imkansız. İnternetim sürekli kesiliyor. Yardım edin!,2
101,'veremiyoruz' diyorlar,2
102,Vodafone hediye çarkından bir aylık ücretsiz film Box üyeliği çıktı mail ile kaydoldum hiçbir şekilde kullanmadım ve bir ay geçti. Kartımdan para çekti. İptal etmeyi defalarca denedim ama müşteri hizmetlerine hiçbir şekilde ulaşamadım ve kullanmadığım bir şey için ücret ödemek istemiyorum lütfen çözüm bulun,2
103,Trendyol'dan aldığım ürünler her zaman zamanında ve sorunsuz geliyor. Çok teşekkür ederim Trendyol.,1
104,bozuldu,2
105,Haber yok,2
106,Sipariş verdiğim çiçeğin iki taraftan görüntüsü. Bunda bir hata olmalı diye düşünüyorum. Üstelik normalde fotoğrafı görebilirsiniz mesajı gelirdi. Mesaj gelmeden araca yüklendi diye mesaj geldi. Geri dönüş yaparsanız sevinirim. @csdestek @ciceksepeti,2
107,bedelini bari geri ödeyin,2
108,Elektrik faturam bu ay iki katına çıkmış. Nasıl ödeyeceğim ben bunu? #CKEnerji,2
109,hata da bana ders olsun,2
110,Özlem Diyarbakır Seyahat şikayet numarasına bugün muavinin kötü ve uygunsuz tavırları yüzünden WhatsApp hattına mesaj atıp şikayette bulundum. Doğru dürüst bir cevap alamadım ve şu an yazdığım detaylı mesaja da geri dönüş sağlanmadı. Sanırım engellenmiş olabilirim umarım buradan dönüş sağlanır. Gerçekten böyle güzel bir firmayı böyle insanların kirletmeye hakkı yok. Sizden ricam gerekenin yapılması.,2
111,Nereden başlayacağımı bilemiyorum. Çalışan hanımın ilgisizliği yüzünden mağdur olduk. Teras kafede içecek içtik ve kızım ayakkabılarını çıkardı. Orada kalmış; biz de ertesi gün fark ettik. O gün görev yapan kişiye ulaştık orada unuttuğumuzu geri almaya geleceğimizi söyledik. Ancak gece 12'de unutulmuş eşyayı neden resepsiyona bırakmadığını anlamadık. Kamera kayıtlarına bakılmasını istedim. Orayı gören olmadığını dış kısma bakacaklarını söylediler. Baktılar mı haberim bile yok. Ertesi gün ben arayıp zorla bilgi aldım. Baktıklarına inanmıyorum umurlarında bile değil. Geçen sene de annemin saati kayboldu. Hadi bizim hatamızdır dedik ama geçen sene 3 5 yaşındaki kızımı bu kadar üzmelerini yasal yolla çözeceğim. Her yerde bir şeyimiz kalabilir. Havuz başında telefonumuzu yemek yerken eşyamızı bırakmaya korkar olduk. Tedirginlikle tatili bitirmeye çalışıyoruz. Başka insanların canı yanmasın.,2
112,hiçbir işlem yapamıyorum,2
113,neden böyle şeyler oluyor,2
114,Kova hazırlayıp temizlik yapmaya üşendiğim zamanlar için kurtarıcı bir mendil. Tuvalet klozet kapağı temizliğinde kullandığımız bezleri nasıl temizleyeceğim hijyenik midir diye düşünmeye gerek kalmadan her seferinde yeni temiz bezle silebilmek içimi rahatlatıyor.,2
115,Adana ili Çukurova ilçesi Toros mahallesinde ikamet ediyorum. Dünden beri Superonline internet kesintisi bulunmakta olup hala çözülememiştir. İletişim merkezini aradığımda bugün 17:24 te tahmini olarak çözüleceği söylenmiştir. Tatil günü yaratılan bu mağduriyetin giderilmesini acilen talep ediyorum. Kesinti olan günler adına fatura çıkarılmaması talep etmekteyim.,2
116,en sevdiğim market,1
117,Operasyon ekibiniz gerçekten çok yardımcı oldu ve süreci hızlandırdı. Teşekkürler. @GarantiBBVA,3
118,çok kibar,1
119,Bebekli ailelerin ihtiyaçlarına göre hazırlanan bebek seyahat kitimizle kıtalar arası uçuşlar şimdi çok daha konforlu!,2
120,yardımsever,1
121,Paramın iadesini istiyorum,1
122,Selin Beauty Bakırköy Taşevler Sokak'ta bulunan şubesine 19.06.2024 tarihinde saat 17:00'de protez tırnak ve ipek kirpik randevusu aldım. Daha önce gittiğim bir merkezdi. Kirpiklerim orada yapılmıştı ve sökülüp tekrar yapılacaktı. Saat 17:00'de merkezde bulundum biraz beklememi rica ettiler. 15 dakika geçtikten sonra sordum. Protez tırnakta eleman eksiği olduğunu ve beklemem gerektiğini söylediler. Ne kadar beklerim dedim yarım saatten fazlaysa beklemeyeceğimi belirttim. O kadar sürebileceğini söylediler. Kirpik için boşluk şu an var mı dediğimde evet deyip beni yukarı kata yönlendirdiler. Yukarı çıktığımda 3 kişi müşteri başında çalışıyordu bir tanesinin işlemi yeni bitmişti. Ne olacak diye sorduğunda durumu anlattım. Hiçbir şey söylemeden aşağı indi. Ayakta onu beklerken aşağı indim kasadaki bayana kimse ilgilenmedi dedim. Şimdi çıkaracak arkadaş kirpiklerinizi dedi ama çalışan kız dolabından bir şeyler alırken ben yemek yiyeceğim ne yapabilirim dedi. Bunun üzerine direkt merkezden çıkış yaptım. Müşteriye saygı asla yok. Hep tercih ettiğim ve kirpiğinden çok memnun olduğum bir yerdi ama artık tercih etmeyeceğim. Bence merkez sahibi veya yöneticisi çalışanlarına biraz saygı öğretmeli.,0
123,çekilmiş,2
124,@btcturkpro Where is our $SGB Songbird token? Why there is no any announcement? @BtcTurkDestek,2
125,iznim ve onayım olmadan,2
126,Mavi jeansten daha evvel online yaptığım alışveriş sonrası şikayet doğrultusunda tarafıma özür ve 100 TL alışveriş çeki verdiler bende ne yazık ki aynı hataya tekrar düştüm ve online sipariş verdim bu alışverişte çeki kullandım gelen urunu aldığım anda ürünün kötülüğünden dolayı hemen değişimi istedim aldığım ürün 299 TL değişim yapacağım ürün 349 TL idi benden Antares mavi mağazası 150 TL fark istedi aynı hataya 2. Kez düştüm. Bu benim için son oldu. Mavi onlinedan alışveriş yapacaklar kesinlikle görmeden yapmayın. Ayrıca bu durumu maliye bakanlığınada bildireceğim. 299 TL ürünü nasıl olur da 199 TL görünüyor.,2
127,ulaşılması da bir garip,2
128,Trendyol satıcıya ödeme yaparken fazladan kesinti yaparak ödeme yapıyor. Ödeme ekranında 1.201 20 TL gösterirken 1.195 21 TL ödeme yaptı. 5.99 TL fazladan kesti. Ekrandaki hesaplama da 1.201.20 TL. Kesintilerin iadesini talep ediyorum. Aksi takdirde dava açacağım. Binlerce satıcıdan böyle kesinti yapsa milyonları kaldırır.\n\nEkteki resimde dun 1.201 20 Tl gösteriyordu.,2
129,bozuk çıktı,2
130,Genel müdürünüzün e-mail adresi lazım şikayet etcem de sizi@VodafoneDestek,2
131,Türk Telekom uygulaması üzerinden Bimcell hattım için (535***1212) Sil Süpür'den 17 Haziran 2024'te gece 01:00'de Sil Süpür hediyesini kullandım. Günlük 5 GB hediye verdi ve uygulamadan baktığımda 18 Haziran 23:59'a kadar süresi olduğu yazıyordu. Ben de buna güvenerek 18 Haziran günü sabahı 24 saati geçtiği halde kullanmaya devam ettim.\n\nTa ki içindeki 114 TL bitinceye kadar. Baktım neden interneti kullanamıyorum? Çünkü internet hediye paketi yok ve içindeki TL de bitmiş!\n\nBu nasıl olacak?\n\n18 Haziran 23:59'a kadar geçerli interneti SMS iletisi ile 18 Haziran 01:00'a kadar kullanım hakkı veriliyor ve uygulamada daha kullanım hakkı var gözüküyor.\n\nSMS atmışlar gece 18 Haziran 01:00'e kadar kullanımı var yazıyor ama ben mobil modem kullandığım için her zaman gelen SMS'e bakamıyorum.\n\nMobil uygulama üzerinden kullanım sürelerine bakıyorum ve hakkım olmasına rağmen hakkımı kullanamıyorum. Madem ki hakkımız yok bunu uygulamada da bildirin de interneti ona göre kullanalım.\n\n114 TL paramın iadesini istiyorum.,2
132,düşünmüyorum,2
133,Helal olsun size daha iyisi olamazdı👏👏👏,1
134,Benim kargoyu yollama işini düşünmüyosunuz heralde? @KoctasDestek @Koctas,2
135,#LCW'den aldığım gömlek çok kaliteli. Teşekkürler LCW!,1
136,ilgilenmiyor,2
137,Bu kadar mı düştünüz 500 lira mı yatırmıyorsunuz Rezilller @youwindestek@youwinoffical@onwin@hepsibahis..,2
138,mesajı okumadı sanırım,2
139,@DS_Destek İVEDİ sonucu bekliyorum.,2
140,Böyle bir porsiyon olamaz olmamalı,2
141,Netflix'te özel planı tercih ettik; aynı anda farklı cihazlarda izleyebilmek için ama uzun zamandır farklı cihazlarda oturum açıldığında 'cihazınız hanemize kayıtlı değil' uyarısı çıkıyor. Her seferinde onaylamak gerekiyor. Eğer her seferinde bu işlemi yapacaksak neden dört kişi aynı anda izleyebilen paketi aldık ki? Aynı anda izlenmiyor bu durumdan ne anladık? Bu soruna bir çözüm bulunmazsa Netflix üyeliğimi sonlandıracağım.,2
142,2 saat sonra,2
143,Sadece bir sorunum var neden sürekli GB yerine dakika veriyorsunuz,2
144,bilgisayar çalışmıyor,2
145,Domino’s acaba napıyorsunuz acaba sipariş hattı diyip arıyoruz adam çıkıyor diyor yanlış numara ne biçim hattınız var @DominosDestek @DominosTR,2
146,ulaşamıyorum,2
147,çok gecikti,2
148,RüzgarNet faturası yatırılmasına rağmen interneti kestiler. 4-5 defa görevlilerle görüşmemize rağmen problem hala halledilmedi. Ticari işletme olduğumuz için birçok müşteriyi geri çevirmek zorunda kaldık. Bu zararı kim karşılayacak? Telefonun başında iki saattir bekliyoruz.,2
149,soğuktu,2
150,Akbank müşteri hizmetlerine ulaşmak neredeyse imkansız. Çok sinir bozucu bu durum!,2
151,TurkNet şirketinden mevcutta bulunan internet aboneliğimi sonlandırdım. 12.06.2024 tarihinde gelen mesajda modem kablo adaptör gibi ekipmanların 15 gün içerisinde TurkNet firmasının belirttiği adrese kargolamam gerektiği bilgisi verildi. Ancak 17.06.2024 tarihinde gelen mesaj da 3 gün içerisinde iade etmem gerektiği iade yapılmadığı takdirde 2000 TL para cezası verileceği yazıyor. İki mesaj arasında uyumsuzluk olduğu gibi bayramda nasıl iade etmemi bekliyorsunuz? Çağrı hizmetlerini aradığımda hiçbir şekilde başlanmıyor tuşlama sisteminde devamlı olarak farklı menülere yönlendiriliyor. TurkNet hizmet sağladığı çoğu konu da olduğu gibi kapanış ve fesih işlemlerinde de aynı amatörlükte :),2
152,asla sipariş vermem,2
153,@SekerciErkan @SekerciErkan Merhaba telefon numaranızı DM üzerinden alabilir miyiz?,0
154,920 lira eklenerek,2
155,düzeltilmesini,2
156,@Turkcell müşteri hizmetleri çok nazik ve yardımcı oldu. Sorunum hemen çözüldü. Teşekkürler,1
157,geri iadesini,2
158,Merhabalar. Türk Telekom internet kullanıcısıyım. İnternetimizde sorun var ve sorunun çözümünü geçiştirip duruyor Türk Telekom. Arıza ihbarı yapmak için aradım bana sprinteri direk bağlattılar falan. Ama bir şey değişmedi. Tekrar aradım ve tekrar arıza ihbarı yapmama rağmen hala sorunum çözülmüş değil. Ve ayrıca Türk Telekom hattına sahibim. İnternetim Wi-Fi yi kullanamadığım için çabuk bitti ve hemen internet aşımını daha önce internet bittiğinde dursun diye talimat vermeme rağmen faturaya eklemişler. Başta her şey güzel teklifler falan sunuyorlar ama daha sonra nasıl bu adamı soyarız diye ellerinden gelen her şeyi yapıyorlar. Türk Telekom arıza konusunda falan çok zayıf. Yeni kullanıcılar buna göre tercih yapsınlar. Yani bir de ben yurt dışında çalışıyorum ve ailem ile internet üzerinden görüşe biliyorum sadece. Sürekli bir kesinti var.,2
159,Oris Telekom aboneliğimin naklini yapmadıkları için iptali hususunda yapmış olduğum başvuruma gerekli işlemler yapılmıyor beni mağdur ediyorlar ekte sunmuş olduğum dilekçemi şirketin yönlendirmesi ile abonedestek@oristelekom.com adresine mail ile ilettim ancak işleme almıyorlar aboneliğimin iptali ile modemi iade etmem için tarafıma SMS ile kargo kodunun gönderilmesi gerekiyor bu husustaki mağduriyetimin ivedi giderilmesi için gereğini arz ederim.,2
160,ürününüzün kalitesini çok beğendim,1
161,Tavsiye ederim,1
162,Amazon'dan aldığım kitap hasarlı geldi. İade süreci çok uzun sürüyor.,2
163,yanlış adrese teslim edilmiş,2
164,Çankaya Ümitköy'de sabahtan beri Superonline internet erişimi yok. Hem Turkcell TV çalışmıyor hem de internete bağlanamıyorum. Açıkçası hiçbir şey yapmadıklarına inanıyorum. Resmen sallıyorlar. Nasılsa bir yaptırımı yok cezası yok şikayet edeceğin bir yer yok. Klasik hazır mesajları var herkese gönderiyorlar: 'Değerli müşterimiz' falan filan.,2
165,Sim kart bloke işlemini nasıl yapabilirim ? Ziraat mobilden denedim olmadı müşteri temsilcisi ile de görüşemedim bi yardımcı olursanız sevinirim @ZiraatDestek,2
166,beceriksizlik,2
167,iade kabul edilmedi,2
168,Teşekkür ederiz @BEDASDestekilgi ve alakanızdan dolayı 😒😒,1
169,İyi temizliyor.Hizli bir şekilde geldi,1
170,Ürünleriniz kaliteli,2
171,Türk Telekom müşteri hizmetlerinde karşımda bir muhatap yok. Aldığım paketleri iptal etmek istiyorum ancak yapamıyorum. 1000 lira fatura ödemekten bıktım. En kısa sürede dönüş yapar mısınız? Karşımda bir muhatap istiyorum. Sistem çok kötü asla çözüm odaklı değil.,2
172,fiyatlar çok yüksek,2
173,PTTCell müşteri hizmetlerine acil ulaşmak istiyorum. Müşteri hizmetlerinde istediğim birime hiçbir şekilde ulaşamıyorum. Bir temsilci ile konuşamadım. Taahhüt yaptığınızda tarifemin fiyatını bana farklı söylediler. Şu an faturam 1800 TL gözüküyor. Günüm geldiğinde ulaşsam bu sorunu yaşamayacaktım. Girmediğim bir birim kalmadı ulaşamadım. Sorumlusu PTTCell'dir. Mağdur edildim. Şikayetçiyim.,2
174,biraz indirim yapılsa iyi olurdu,2
175,Göknet aboneliğim 28 Nisan tarihinde taahhüt bitmesine rağmen aboneliğimin iptalini istiyorum. Ancak e-posta yoluyla göndermemiz gereken belgeleri istiyorlar. 10 kez göndermeme rağmen farklı bir e-posta adresinden göndersem bile ,2
176,ulaşmak imkansız,2
177,Orman ve Su İşleri Bakanı Veysel Eroğlu bugün İstanbul Beylerbeyi Sarayı'nda Cumhurbaşkanı Sn. Recep Tayyip Erdoğan ile görüşecek.,0
178,sürekli kesiliyor,2
179,para çekti,2
180,İnternetim 1 haftadır yok müşteri hizmetleri ilgilenmiyor kapatacağım artık bu hizmeti.,2
181,Obilet sitesinden Metro Turizm Edirne-Esenler yolculuğum otobüs arıza yaptığı için yarıda kaldı. Yağmurlu havada valizlerimiz apar topar dışarıya atıldı. Uzun saatler boyunca yeni otobüs gelmedi ve kendi imkanlarımla gitmek zorunda kaldım. Biletimin iadesini talep ediyorum.,2
182,iptal etmeyi defalarca denedim,2
183,Türkiye’nin alanında rakipsiz en ama en kötü kargo şirketi @YurticiKargo @YurticiDestek Konu tartışmaya kapalı. Özellikle bir gıda firmasından alışveriş yapacaksam öncelikli şartım bunlarla çalışmıyor olması olacak. Net!,2
184,ulaşamadım,2
185,Merhaba Arçelik gurme sef ilk çıktığında aldığım eşimin severek kullandığı bir ürün. 1 sene oldu. Olmadı kapak arızası verdi yetkili servis kapağı değiştirdi. Şu an yine aynı hatayı verdi ürün. Kullanıcı hatası olduğunu düşünmüyorum. Ürünün yedek parçasında sıkıntı aynı hatayı veriyorsa kalıcı bir çözüm bulmanızı rica ediyorum.,2
186,zamanında ve sorunsuz geliyor,1
187,teşekkür ederim,1
188,İade etmeyecekseniz keşke iade etmiyoruz deseydiniz o kadar insan hala depozito iadesini bekliyor @KYK_Destek,2
189,fotoğrafı görebilirsiniz mesajı gelirdi,2
190,istanbul’da kadikoy’de her gece sabaha karsi elektrigi duzenli olarak kesiyorsunuz! lanet olsun size @ayedasdestek,2
191,Kutusunda bir güvenlik koruması yoktu ve ürün kapağı gevşemiş ve akmıştı. Eczaneden kontrol edeceğim. Yoksa iade etmeyi düşünüyorum,2
192,Bunda bir hata olmalı diye düşünüyorum,2
193,iki katına çıkmış,2
194,Netflix dizileri müthiş ama Türk dizileri çok az. Daha fazla çeşit olmalı.,3
195,nasıl ödeyeceğim,2
